model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-89.062,16.653,0.0,50.966,42.064,0.012,17.539,-,-,-,2.908,220.777,45.638,1377.48,0.0,0.0,0.0,20.757,1915.84,-426.222,68.884,0.0,0.0,0.0,-448.179,-24.865,0.0,0.0,patches_0_1_1
../3_emref/emref_1.pdb,-,1,-72.518,20.602,0.0,52.478,51.716,0.01,19.318,-,-,-,0.788,234.793,44.782,1006.68,0.0,0.0,0.0,21.832,1913.8,-464.507,69.469,0.0,0.0,0.0,-465.247,-1.527,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-63.597,14.548,0.0,44.43,36.186,0.015,15.674,-,-,-,0.0,221.984,45.45,1200.07,0.0,0.0,0.0,-4.381,1903.57,-161.078,68.73,0.0,0.0,0.0,-188.079,-27.001,0.0,0.0,patches_0_2_0
../3_emref/emref_1.pdb,-,1,-63.486,12.622,0.0,39.334,30.927,0.02,14.968,-,-,-,34.098,226.448,47.161,1134.38,0.0,0.0,0.0,-3.339,1905.16,-184.905,70.826,0.0,0.0,0.0,-177.382,-26.576,0.0,0.0,patches_1_2_1
../3_emref/emref_1.pdb,-,1,-57.993,18.411,0.0,46.178,44.873,0.013,16.554,-,-,-,47.971,229.337,45.693,1377.93,0.0,0.0,0.0,10.888,1912.21,-254.058,71.578,0.0,0.0,0.0,-228.954,-22.867,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-53.245,16.623,0.0,38.218,33.307,0.018,18.662,-,-,-,0.0,229.004,46.58,809.549,0.0,0.0,0.0,-18.816,1916.94,-44.265,72.131,0.0,0.0,0.0,-69.841,-25.576,0.0,0.0,patches_0_2_1
../3_emref/emref_1.pdb,-,1,-48.931,16.351,0.0,37.944,38.229,0.019,16.846,-,-,-,304.954,226.773,44.767,1355.63,0.0,0.0,0.0,7.705,1912.31,-352.665,67.218,0.0,0.0,0.0,-64.308,-16.598,0.0,0.0,patches_1_0_0
../3_emref/emref_1.pdb,-,1,-34.713,20.471,0.0,59.608,54.955,0.008,18.7,-,-,-,42.516,231.135,45.273,919.765,0.0,0.0,0.0,6.334,1906.24,-108.704,68.312,0.0,0.0,0.0,-89.746,-23.558,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-26.383,15.524,0.0,44.396,34.373,0.015,19.539,-,-,-,51.518,224.867,44.733,562.823,0.0,0.0,0.0,-5.765,1899.86,-36.84,67.779,0.0,0.0,0.0,-3.724,-18.402,0.0,0.0,patches_1_2_0
../3_emref/emref_1.pdb,-,1,-18.999,10.562,0.0,24.221,21.785,0.043,11.029,-,-,-,374.062,234.814,43.95,1250.14,0.0,0.0,0.0,10.18,1901.41,-218.199,72.682,0.0,0.0,0.0,132.917,-22.946,0.0,0.0,patches_1_0_1
../3_emref/emref_1.pdb,-,1,-17.168,13.696,0.0,47.433,36.654,0.014,19.071,-,-,-,447.93,230.297,45.897,1038.27,0.0,0.0,0.0,-1.552,1911.1,-142.424,70.695,0.0,0.0,0.0,273.582,-31.924,0.0,0.0,patches_1_1_0
../3_emref/emref_1.pdb,-,1,-15.063,12.952,0.028,32.294,24.578,0.035,15.194,-,-,-,476.609,222.374,46.766,1135.32,0.0,0.0,0.0,12.986,1911.99,-260.699,67.662,0.0,0.0,0.0,192.34,-23.57,0.0,0.0,patches_1_1_1
