model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-73.045,11.673,0.0,43.514,33.874,0.018,13.95,-,-,-,0.034,164.513,39.691,1199.35,0.0,0.0,0.0,-4.301,1376.95,-150.892,56.303,0.0,0.0,0.0,-189.428,-38.569,0.0,0.0,patches_2_1_0
../3_emref/emref_1.pdb,-,1,-65.954,3.857,0.28,9.75,8.76,0.281,4.441,-,-,-,0.0,155.611,38.915,989.016,0.0,0.0,0.0,-24.991,1374.06,-51.135,54.608,0.0,0.0,0.0,-81.87,-30.735,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-64.503,12.544,0.14,24.736,23.598,0.087,15.612,-,-,-,0.0,153.06,38.69,896.21,0.0,0.0,0.0,-20.601,1377.54,-74.658,52.442,0.0,0.0,0.0,-103.628,-28.97,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-62.207,12.136,0.0,46.917,38.093,0.016,13.809,-,-,-,0.492,163.326,40.199,902.552,0.0,0.0,0.0,-6.132,1378.91,-128.874,56.968,0.0,0.0,0.0,-158.732,-30.35,0.0,0.0,patches_2_0_0
../3_emref/emref_1.pdb,-,1,-61.952,12.672,0.0,44.396,37.658,0.016,16.225,-,-,-,0.174,156.596,39.539,1033.87,0.0,0.0,0.0,-8.575,1368.56,-116.169,54.914,0.0,0.0,0.0,-146.155,-30.16,0.0,0.0,patches_1_0_0
../3_emref/emref_1.pdb,-,1,-57.271,11.36,0.02,20.702,20.333,0.06,12.749,-,-,-,73.466,159.927,39.539,982.763,0.0,0.0,0.0,-17.131,1385.38,-54.814,53.463,0.0,0.0,0.0,-17.872,-36.524,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-56.091,15.426,0.0,43.512,42.301,0.015,14.756,-,-,-,0.0,161.714,40.499,1075.63,0.0,0.0,0.0,4.656,1377.89,-166.189,55.637,0.0,0.0,0.0,-193.698,-27.509,0.0,0.0,patches_2_1_1
../3_emref/emref_1.pdb,-,1,-55.063,5.107,0.12,19.583,14.874,0.119,6.386,-,-,-,0.0,157.416,39.794,779.803,0.0,0.0,0.0,-16.617,1384.43,-70.86,52.604,0.0,0.0,0.0,-95.134,-24.274,0.0,0.0,patches_1_0_1
../3_emref/emref_1.pdb,-,1,-47.358,10.73,0.0,43.319,33.803,0.019,11.922,-,-,-,47.214,163.576,40.747,749.125,0.0,0.0,0.0,-8.594,1380.22,-135.424,53.97,0.0,0.0,0.0,-104.611,-16.401,0.0,0.0,patches_2_0_1
../3_emref/emref_1.pdb,-,1,-46.271,13.567,0.0,28.037,29.795,0.032,13.112,-,-,-,0.0,153.851,38.492,799.377,0.0,0.0,0.0,-4.325,1372.68,-67.152,53.166,0.0,0.0,0.0,-95.668,-28.516,0.0,0.0,patches_1_1_1
../3_emref/emref_1.pdb,-,1,-41.849,9.863,0.02,15.636,17.115,0.09,10.343,-,-,-,57.175,159.965,38.586,783.672,0.0,0.0,0.0,-11.533,1369.61,-73.977,54.148,0.0,0.0,0.0,-38.04,-21.238,0.0,0.0,patches_0_1_1
../3_emref/emref_1.pdb,-,1,-34.597,14.778,0.0,30.907,24.824,0.027,17.605,-,-,-,0.087,155.085,38.373,700.205,0.0,0.0,0.0,-5.279,1371.16,-43.047,54.861,0.0,0.0,0.0,-63.678,-20.718,0.0,0.0,patches_1_1_0
