model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-59.877	11.752	0.000	55.921	41.124	0.013	17.320	2	1	1	0.000	160.772	39.788	974.005	0.000	0.000	0.000	-9.476	1384.640	-100.222	52.288	0.000	0.000	0.000	-130.579	-30.357	0.000	0.000
../../6_seletopclusts/cluster_2_model_1.pdb	-	2	-51.940	10.966	0.020	22.714	20.142	0.054	13.613	3	2	1	0.000	156.906	39.021	934.903	0.000	0.000	0.000	-10.706	1378.720	-85.088	50.327	0.000	0.000	0.000	-109.305	-24.217	0.000	0.000
../../6_seletopclusts/cluster_2_model_2.pdb	-	3	-43.829	11.033	0.040	22.299	20.023	0.062	13.583	3	2	2	0.000	153.287	39.120	896.813	0.000	0.000	0.000	-13.874	1383.930	-13.664	51.271	0.000	0.000	0.000	-40.886	-27.222	0.000	0.000
../../6_seletopclusts/cluster_1_model_2.pdb	-	4	-40.665	12.379	0.000	57.738	42.940	0.012	18.265	2	1	2	0.000	158.131	37.329	780.275	0.000	0.000	0.000	-0.248	1388.950	-78.071	49.463	0.000	0.000	0.000	-102.874	-24.803	0.000	0.000
../../6_seletopclusts/cluster_1_model_3.pdb	-	5	-39.693	12.391	0.000	58.018	43.256	0.012	18.169	2	1	3	0.000	156.529	37.992	732.714	0.000	0.000	0.000	-4.860	1377.170	-53.970	49.917	0.000	0.000	0.000	-78.009	-24.039	0.000	0.000
../../6_seletopclusts/cluster_3_model_1.pdb	-	6	-38.751	9.120	0.020	36.137	27.932	0.033	10.039	1	3	1	0.000	164.716	39.297	643.542	0.000	0.000	0.000	-9.255	1388.950	-43.953	51.338	0.000	0.000	0.000	-64.659	-20.706	0.000	0.000
../../6_seletopclusts/cluster_2_model_3.pdb	-	7	-36.194	9.772	0.040	22.180	19.167	0.064	12.002	3	2	3	0.000	159.329	39.673	761.741	0.000	0.000	0.000	-8.995	1405.890	-59.167	51.762	0.000	0.000	0.000	-74.532	-15.365	0.000	0.000
../../6_seletopclusts/cluster_4_model_1.pdb	-	8	-33.508	11.057	0.040	21.398	21.605	0.065	11.599	4	4	1	0.000	170.947	39.667	588.351	0.000	0.000	0.000	-14.501	1387.750	-25.190	54.805	0.000	0.000	0.000	-39.159	-13.969	0.000	0.000
../../6_seletopclusts/cluster_4_model_2.pdb	-	9	-31.927	12.410	0.040	24.463	25.059	0.054	13.532	4	4	2	0.000	166.987	39.956	489.408	0.000	0.000	0.000	-8.563	1395.570	-36.460	53.480	0.000	0.000	0.000	-52.532	-16.072	0.000	0.000
../../6_seletopclusts/cluster_3_model_2.pdb	-	10	-29.866	9.376	0.020	35.554	27.562	0.033	10.697	1	3	2	0.000	157.947	38.119	609.035	0.000	0.000	0.000	-11.483	1373.420	-6.282	51.191	0.000	0.000	0.000	-23.408	-17.126	0.000	0.000
../../6_seletopclusts/cluster_3_model_3.pdb	-	11	-27.976	9.929	0.000	39.823	30.610	0.022	10.782	1	3	3	0.000	160.626	38.508	592.228	0.000	0.000	0.000	-6.430	1373.600	-18.105	50.979	0.000	0.000	0.000	-36.030	-17.925	0.000	0.000
../../6_seletopclusts/cluster_4_model_3.pdb	-	12	-21.118	11.014	0.020	21.342	22.615	0.058	11.261	4	4	3	0.000	165.712	38.064	415.679	0.000	0.000	0.000	-5.031	1390.790	-19.042	52.438	0.000	0.000	0.000	-31.320	-12.278	0.000	0.000
