Model	1_rigidbody_rank	3_flexref_rank	4_emref_rank	6_seletopclusts_rank	Sum-of-Ranks
cluster_1_model_1.pdb	93	7	16	1	117
cluster_2_model_1.pdb	81	40	28	2	151
cluster_2_model_2.pdb	99	66	51	3	219
cluster_1_model_2.pdb	122	20	65	4	211
cluster_1_model_3.pdb	82	28	69	5	184
cluster_3_model_1.pdb	129	62	74	6	271
cluster_2_model_3.pdb	109	81	84	7	281
cluster_4_model_1.pdb	71	105	93	8	277
cluster_4_model_2.pdb	128	93	103	9	333
cluster_3_model_2.pdb	148	116	112	10	386
cluster_3_model_3.pdb	147	86	120	11	364
cluster_4_model_3.pdb	18	142	148	12	320
