model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-91.11,4.626,0.162,13.083,7.904,0.185,6.993,-,-,-,0.0,378.601,77.047,1542.34,0.0,0.0,0.0,-11.246,2965.41,-276.339,114.136,0.0,0.0,0.0,-300.935,-24.596,0.0,0.0,patches_1_0_0
../3_emref/emref_1.pdb,-,1,-78.187,20.463,0.0,72.793,52.364,0.006,25.104,-,-,-,0.015,378.39,73.84,818.052,0.0,0.0,0.0,-0.671,2963.63,-280.311,114.639,0.0,0.0,0.0,-301.752,-21.456,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-72.14,22.702,0.0,66.421,59.705,0.007,24.705,-,-,-,0.0,380.908,75.976,1000.54,0.0,0.0,0.0,-13.365,2974.02,-179.651,112.21,0.0,0.0,0.0,-202.495,-22.845,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-70.937,22.312,0.0,50.666,41.885,0.011,22.845,-,-,-,0.0,378.991,75.019,1093.76,0.0,0.0,0.0,-17.117,2952.39,-149.259,116.392,0.0,0.0,0.0,-173.227,-23.968,0.0,0.0,patches_1_1_0
../3_emref/emref_1.pdb,-,1,-68.648,12.359,0.081,31.19,25.922,0.055,13.998,-,-,-,0.0,388.178,76.861,1243.17,0.0,0.0,0.0,-7.712,2967.93,-231.105,116.217,0.0,0.0,0.0,-245.819,-14.714,0.0,0.0,patches_1_0_1
../3_emref/emref_1.pdb,-,1,-66.674,20.043,0.0,65.835,55.355,0.007,22.104,-,-,-,0.0,383.788,75.908,1779.57,0.0,0.0,0.0,5.106,2963.22,-146.198,115.556,0.0,0.0,0.0,-188.738,-42.54,0.0,0.0,patches_0_2_1
../3_emref/emref_1.pdb,-,1,-66.371,22.7,0.0,66.706,59.662,0.007,24.742,-,-,-,0.276,386.429,77.319,1016.6,0.0,0.0,0.0,-13.368,2966.16,-154.531,116.901,0.0,0.0,0.0,-176.379,-22.124,0.0,0.0,patches_0_1_1
../3_emref/emref_1.pdb,-,1,-65.494,10.259,0.014,39.306,28.668,0.026,11.757,-,-,-,104.909,385.841,76.659,1485.54,0.0,0.0,0.0,19.244,2961.27,-486.573,112.907,0.0,0.0,0.0,-379.577,2.086,0.0,0.0,patches_0_2_0
../3_emref/emref_1.pdb,-,1,-60.503,13.654,0.0,26.956,22.721,0.034,15.697,-,-,-,0.0,381.408,77.287,908.313,0.0,0.0,0.0,-24.907,2970.62,-42.535,113.068,0.0,0.0,0.0,-69.624,-27.089,0.0,0.0,patches_1_1_1
../3_emref/emref_1.pdb,-,1,-59.086,18.939,0.0,72.366,54.559,0.007,22.648,-,-,-,0.0,378.498,75.52,1109.72,0.0,0.0,0.0,-7.341,2970.28,-145.184,114.091,0.0,0.0,0.0,-167.892,-22.708,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-57.604,15.878,0.0,36.882,36.754,0.02,14.264,-,-,-,0.061,377.079,75.014,1037.8,0.0,0.0,0.0,-6.842,2959.19,-119.493,114.232,0.0,0.0,0.0,-146.302,-26.87,0.0,0.0,patches_1_2_0
../3_emref/emref_1.pdb,-,1,-53.839,16.869,0.0,40.696,28.933,0.017,18.731,-,-,-,40.899,375.454,72.972,827.295,0.0,0.0,0.0,-3.936,2951.21,-212.958,114.61,0.0,0.0,0.0,-183.461,-11.401,0.0,0.0,patches_1_2_1
