model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-71.174	13.449	0.000	29.326	22.321	0.030	16.345	1	1	1	0.000	237.519	47.038	1166.250	0.000	0.000	0.000	-3.688	1759.290	-142.070	65.898	0.000	0.000	0.000	-181.142	-39.072	0.000	0.000
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-62.937	13.703	0.000	27.351	24.750	0.033	15.631	1	1	2	0.000	233.921	47.180	1016.620	0.000	0.000	0.000	-5.153	1754.070	-162.269	65.335	0.000	0.000	0.000	-187.599	-25.330	0.000	0.000
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-61.341	13.827	0.000	27.573	23.909	0.033	15.898	1	1	3	0.000	227.398	47.671	1048.940	0.000	0.000	0.000	0.996	1761.090	-173.054	62.785	0.000	0.000	0.000	-200.780	-27.726	0.000	0.000
../6_seletopclusts/cluster_2_model_1.pdb	-	4	-56.388	20.940	0.000	33.540	43.757	0.022	17.126	3	2	1	0.000	235.974	49.048	752.278	0.000	0.000	0.000	-10.792	1741.450	-125.365	67.459	0.000	0.000	0.000	-145.888	-20.523	0.000	0.000
../6_seletopclusts/cluster_1_model_4.pdb	-	5	-54.104	13.394	0.000	29.386	22.183	0.030	16.249	1	1	4	0.000	240.181	50.845	1055.340	0.000	0.000	0.000	-3.530	1767.040	-62.521	68.946	0.000	0.000	0.000	-100.590	-38.069	0.000	0.000
../6_seletopclusts/cluster_3_model_1.pdb	-	6	-52.803	10.363	0.000	24.667	20.628	0.042	10.173	2	3	1	0.000	226.788	46.721	1051.600	0.000	0.000	0.000	-8.608	1741.710	-75.047	63.785	0.000	0.000	0.000	-104.232	-29.185	0.000	0.000
../6_seletopclusts/cluster_2_model_2.pdb	-	7	-41.905	19.715	0.000	30.194	39.523	0.026	16.156	3	2	2	0.000	228.326	48.687	615.762	0.000	0.000	0.000	-8.132	1750.130	-74.446	65.964	0.000	0.000	0.000	-93.329	-18.883	0.000	0.000
../6_seletopclusts/cluster_2_model_3.pdb	-	8	-41.513	21.276	0.000	33.285	43.557	0.022	16.978	3	2	3	0.000	235.027	49.565	580.072	0.000	0.000	0.000	-16.066	1745.740	-42.954	67.425	0.000	0.000	0.000	-59.811	-16.857	0.000	0.000
../6_seletopclusts/cluster_3_model_2.pdb	-	9	-39.006	10.482	0.000	25.230	20.417	0.041	10.247	2	3	2	0.000	239.560	47.293	820.151	0.000	0.000	0.000	-8.268	1758.530	-42.711	67.536	0.000	0.000	0.000	-64.907	-22.196	0.000	0.000
../6_seletopclusts/cluster_3_model_3.pdb	-	10	-36.634	9.749	0.000	22.477	18.403	0.049	9.539	2	3	3	0.000	235.619	47.740	732.377	0.000	0.000	0.000	-4.198	1743.780	-55.715	64.123	0.000	0.000	0.000	-77.009	-21.294	0.000	0.000
../6_seletopclusts/cluster_2_model_4.pdb	-	11	-36.448	21.832	0.000	34.151	45.552	0.021	17.237	3	2	4	0.000	240.132	50.608	544.013	0.000	0.000	0.000	-0.236	1748.060	-119.139	68.278	0.000	0.000	0.000	-131.523	-12.384	0.000	0.000
../6_seletopclusts/cluster_3_model_4.pdb	-	12	-36.411	10.673	0.000	25.695	19.664	0.039	10.740	2	3	4	0.000	230.892	48.459	785.319	0.000	0.000	0.000	-6.387	1748.160	-61.012	64.326	0.000	0.000	0.000	-78.833	-17.821	0.000	0.000
