model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-89.112,16.642,0.0,33.618,31.508,0.023,13.898,-,-,-,0.0,526.972,98.482,1366.55,0.0,0.0,0.0,3.855,4312.25,-310.677,144.02,0.0,0.0,0.0,-341.508,-30.831,0.0,0.0,patches_0_2_0
../3_emref/emref_1.pdb,-,1,-77.737,4.655,0.077,16.669,12.479,0.126,5.269,-,-,-,0.0,527.76,98.441,1337.38,0.0,0.0,0.0,-7.655,4336.01,-222.083,145.614,0.0,0.0,0.0,-247.749,-25.666,0.0,0.0,patches_0_2_1
../3_emref/emref_1.pdb,-,1,-75.524,26.36,0.0,67.737,63.925,0.006,23.538,-,-,-,196.974,528.425,99.178,1617.56,0.0,0.0,0.0,3.579,4321.76,-290.139,144.992,0.0,0.0,0.0,-133.937,-40.773,0.0,0.0,patches_1_0_1
../3_emref/emref_1.pdb,-,1,-73.54,22.373,0.0,71.64,52.875,0.006,25.612,-,-,-,112.776,525.813,98.924,1706.01,0.0,0.0,0.0,12.28,4345.57,-312.971,146.095,0.0,0.0,0.0,-234.698,-34.503,0.0,0.0,patches_1_2_0
../3_emref/emref_1.pdb,-,1,-70.248,32.12,0.0,85.953,81.235,0.004,29.866,-,-,-,159.581,516.507,97.83,1293.13,0.0,0.0,0.0,-17.089,4336.79,-108.196,142.092,0.0,0.0,0.0,3.907,-47.477,0.0,0.0,patches_1_1_1
../3_emref/emref_1.pdb,-,1,-68.696,22.201,0.0,59.34,53.911,0.008,19.756,-,-,-,7.343,529.367,97.386,1272.99,0.0,0.0,0.0,-13.257,4333.21,-111.759,143.467,0.0,0.0,0.0,-138.237,-33.822,0.0,0.0,patches_1_1_0
../3_emref/emref_1.pdb,-,1,-62.866,15.828,0.0,39.919,29.909,0.017,14.963,-,-,-,0.0,527.549,97.892,913.052,0.0,0.0,0.0,5.653,4326.38,-218.81,145.417,0.0,0.0,0.0,-243.568,-24.758,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-54.113,22.572,0.0,34.355,43.704,0.021,14.733,-,-,-,14.047,531.83,99.975,990.573,0.0,0.0,0.0,-9.041,4330.19,-101.069,145.299,0.0,0.0,0.0,-113.285,-26.263,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-53.636,21.247,0.0,75.515,57.381,0.006,27.23,-,-,-,209.012,530.529,99.702,1400.74,0.0,0.0,0.0,14.08,4324.76,-259.816,147.188,0.0,0.0,0.0,-87.458,-36.654,0.0,0.0,patches_1_2_1
../3_emref/emref_1.pdb,-,1,-51.382,20.09,0.0,61.449,43.435,0.008,21.142,-,-,-,0.0,528.571,99.512,1029.27,0.0,0.0,0.0,-4.33,4330.62,-118.757,143.383,0.0,0.0,0.0,-142.058,-23.301,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-50.704,20.298,0.0,29.314,37.33,0.028,12.83,-,-,-,0.0,524.739,97.893,558.398,0.0,0.0,0.0,-5.894,4332.75,-169.211,140.824,0.0,0.0,0.0,-180.179,-10.968,0.0,0.0,patches_0_1_1
../3_emref/emref_1.pdb,-,1,-38.732,22.134,0.0,75.825,57.028,0.006,25.165,-,-,-,101.932,528.501,97.993,1210.48,0.0,0.0,0.0,11.103,4331.47,-237.604,146.704,0.0,0.0,0.0,-148.178,-12.507,0.0,0.0,patches_1_0_0
