model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-122.359	3.175	0.286	11.626	6.359	0.272	5.410	1	1	1	39.619	228.191	49.398	2429.290	0.000	0.000	0.000	11.202	2256.240	-385.539	70.158	0.000	0.000	0.000	-406.335	-60.415	0.000	0.000
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-120.456	3.120	0.364	11.581	6.268	0.300	5.364	1	1	2	2.365	223.167	50.433	2385.640	0.000	0.000	0.000	13.277	2265.870	-301.128	68.399	0.000	0.000	0.000	-372.507	-73.744	0.000	0.000
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-114.887	3.124	0.273	11.381	6.282	0.273	5.308	1	1	3	38.467	227.684	52.101	2407.210	0.000	0.000	0.000	9.254	2272.180	-334.933	71.302	0.000	0.000	0.000	-357.468	-61.001	0.000	0.000
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-110.085	3.041	0.286	11.149	6.086	0.283	5.157	1	1	4	33.425	228.562	51.108	2364.090	0.000	0.000	0.000	9.377	2288.260	-295.994	69.054	0.000	0.000	0.000	-326.176	-63.606	0.000	0.000
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-102.922	3.139	0.299	11.499	6.454	0.279	5.247	1	1	5	42.652	233.383	53.419	2340.660	0.000	0.000	0.000	10.424	2269.150	-278.052	69.341	0.000	0.000	0.000	-297.401	-62.001	0.000	0.000
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-99.246	3.039	0.273	11.028	6.176	0.280	5.067	1	1	6	39.405	228.504	50.754	2250.340	0.000	0.000	0.000	6.808	2256.800	-281.029	65.125	0.000	0.000	0.000	-295.412	-53.788	0.000	0.000
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-95.871	2.992	0.273	10.854	5.948	0.285	5.063	1	1	7	34.873	230.739	50.261	2219.700	0.000	0.000	0.000	7.264	2255.680	-232.320	67.730	0.000	0.000	0.000	-257.605	-60.158	0.000	0.000
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-92.913	2.927	0.325	10.641	5.866	0.307	4.968	1	1	8	23.560	226.604	52.410	2217.070	0.000	0.000	0.000	3.719	2278.860	-179.355	66.106	0.000	0.000	0.000	-218.912	-63.117	0.000	0.000
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-82.264	2.971	0.260	10.609	6.042	0.285	4.869	1	1	9	39.884	223.105	48.073	2087.160	0.000	0.000	0.000	5.007	2272.550	-181.346	65.631	0.000	0.000	0.000	-196.452	-54.990	0.000	0.000
../6_seletopclusts/cluster_1_model_10.pdb	-	10	-80.583	2.979	0.286	11.315	6.106	0.283	5.039	1	1	10	37.718	231.941	52.129	2065.110	0.000	0.000	0.000	11.830	2271.740	-253.128	69.226	0.000	0.000	0.000	-260.969	-45.559	0.000	0.000
