model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../6_seletopclusts/cluster_1_model_1.pdb	-	1	-51.682	24.849	0.000	74.701	69.388	0.005	26.499	2	1	1	0.000	228.606	50.492	769.360	0.000	0.000	0.000	-5.324	2253.580	-102.064	65.672	0.000	0.000	0.000	-128.009	-25.945	0.000	0.000
../../6_seletopclusts/cluster_1_model_2.pdb	-	2	-41.687	25.747	0.000	74.896	71.838	0.005	27.022	2	1	2	0.000	224.304	49.256	736.566	0.000	0.000	0.000	-14.588	2266.900	-19.228	66.119	0.000	0.000	0.000	-42.482	-23.254	0.000	0.000
../../6_seletopclusts/cluster_1_model_3.pdb	-	3	-40.200	24.773	0.000	74.855	68.964	0.005	26.342	2	1	3	0.000	234.465	51.151	684.588	0.000	0.000	0.000	-5.379	2261.460	-77.926	67.714	0.000	0.000	0.000	-97.162	-19.236	0.000	0.000
../../6_seletopclusts/cluster_1_model_4.pdb	-	4	-36.867	25.685	0.000	75.253	71.584	0.005	26.994	2	1	4	0.000	234.621	53.618	682.052	0.000	0.000	0.000	-9.025	2263.510	-20.106	67.550	0.000	0.000	0.000	-43.927	-23.821	0.000	0.000
../../6_seletopclusts/cluster_2_model_1.pdb	-	5	-33.845	25.990	0.000	77.674	73.350	0.005	26.228	1	2	1	0.000	225.514	51.289	396.533	0.000	0.000	0.000	-11.806	2279.220	-33.813	66.971	0.000	0.000	0.000	-49.091	-15.277	0.000	0.000
../../6_seletopclusts/cluster_2_model_2.pdb	-	6	-30.531	25.561	0.000	78.757	72.886	0.005	26.365	1	2	2	0.000	217.375	49.669	348.978	0.000	0.000	0.000	-8.074	2269.260	-26.070	64.267	0.000	0.000	0.000	-43.313	-17.243	0.000	0.000
../../6_seletopclusts/cluster_2_model_3.pdb	-	7	-28.195	25.544	0.000	78.292	72.567	0.005	26.204	1	2	3	0.000	218.860	49.191	330.013	0.000	0.000	0.000	-6.803	2265.010	-21.396	64.936	0.000	0.000	0.000	-38.509	-17.113	0.000	0.000
../../6_seletopclusts/cluster_2_model_4.pdb	-	8	-24.863	26.443	0.000	78.222	74.366	0.005	26.715	1	2	4	0.000	224.972	52.959	298.182	0.000	0.000	0.000	-8.003	2269.800	-26.152	67.068	0.000	0.000	0.000	-37.781	-11.629	0.000	0.000
../../6_seletopclusts/cluster_2_model_5.pdb	-	9	-23.895	25.335	0.000	78.264	71.784	0.005	25.913	1	2	5	0.000	222.497	52.959	247.466	0.000	0.000	0.000	-9.566	2265.580	-18.020	64.334	0.000	0.000	0.000	-28.746	-10.726	0.000	0.000
../../6_seletopclusts/cluster_2_model_6.pdb	-	10	-23.663	26.296	0.000	78.256	73.696	0.005	26.735	1	2	6	0.000	222.326	52.248	302.465	0.000	0.000	0.000	-6.206	2271.230	-34.283	65.556	0.000	0.000	0.000	-44.883	-10.600	0.000	0.000
../../6_seletopclusts/cluster_2_model_7.pdb	-	11	-15.483	26.039	0.000	77.730	72.861	0.005	26.444	1	2	7	0.000	225.099	50.349	206.553	0.000	0.000	0.000	-3.096	2261.500	-28.906	65.802	0.000	0.000	0.000	-35.511	-6.605	0.000	0.000
