model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-85.299	3.623	0.043	6.879	6.647	0.265	3.051	8	1	1	0.000	312.097	75.099	1342.910	0.000	0.000	0.000	-5.819	2575.300	-256.834	83.528	0.000	0.000	0.000	-284.948	-28.114	0.000	0.000
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-74.981	3.307	0.130	8.233	6.308	0.272	3.260	8	1	2	0.000	309.317	76.058	1134.900	0.000	0.000	0.000	-4.720	2591.310	-261.235	80.403	0.000	0.000	0.000	-279.248	-18.013	0.000	0.000
../6_seletopclusts/cluster_2_model_1.pdb	-	3	-60.342	20.303	0.000	64.260	48.208	0.008	23.192	1	2	1	0.000	323.708	74.438	1213.280	0.000	0.000	0.000	-9.849	2589.780	-94.086	87.137	0.000	0.000	0.000	-125.763	-31.677	0.000	0.000
../6_seletopclusts/cluster_2_model_2.pdb	-	4	-59.109	20.327	0.000	65.473	48.119	0.007	23.926	1	2	2	0.000	317.902	73.686	1051.370	0.000	0.000	0.000	-14.398	2606.890	-85.886	84.981	0.000	0.000	0.000	-113.420	-27.534	0.000	0.000
../6_seletopclusts/cluster_4_model_1.pdb	-	5	-57.594	21.544	0.000	60.853	52.593	0.008	22.266	5	4	1	0.000	319.123	75.480	990.338	0.000	0.000	0.000	-1.019	2576.310	-130.205	85.171	0.000	0.000	0.000	-160.739	-30.534	0.000	0.000
../6_seletopclusts/cluster_8_model_1.pdb	-	6	-55.619	18.610	0.000	59.410	45.680	0.009	20.301	6	8	1	0.000	322.980	74.585	760.582	0.000	0.000	0.000	-11.718	2592.360	-126.054	85.345	0.000	0.000	0.000	-144.743	-18.689	0.000	0.000
../6_seletopclusts/cluster_3_model_1.pdb	-	7	-55.380	15.387	0.000	44.952	35.951	0.015	14.647	2	3	1	0.000	322.033	75.651	788.106	0.000	0.000	0.000	-3.516	2595.790	-150.573	87.157	0.000	0.000	0.000	-172.323	-21.750	0.000	0.000
../6_seletopclusts/cluster_5_model_1.pdb	-	8	-50.879	18.961	0.000	65.175	47.168	0.008	22.715	7	5	1	0.000	320.973	74.493	728.222	0.000	0.000	0.000	-14.042	2599.470	-42.485	85.591	0.000	0.000	0.000	-70.824	-28.340	0.000	0.000
../6_seletopclusts/cluster_7_model_1.pdb	-	9	-49.932	4.739	0.065	12.347	9.035	0.159	4.858	9	7	1	0.000	314.272	73.335	665.011	0.000	0.000	0.000	-18.750	2591.220	-86.710	84.131	0.000	0.000	0.000	-100.550	-13.840	0.000	0.000
../6_seletopclusts/cluster_5_model_2.pdb	-	10	-49.319	19.570	0.000	68.676	49.640	0.007	24.524	7	5	2	0.000	311.561	73.479	618.985	0.000	0.000	0.000	-20.760	2607.040	-20.442	85.094	0.000	0.000	0.000	-44.912	-24.471	0.000	0.000
../6_seletopclusts/cluster_3_model_2.pdb	-	11	-46.837	16.586	0.000	49.429	37.904	0.012	16.342	2	3	2	0.000	320.950	74.572	708.034	0.000	0.000	0.000	0.141	2589.850	-175.369	86.236	0.000	0.000	0.000	-187.273	-11.904	0.000	0.000
../6_seletopclusts/cluster_6_model_1.pdb	-	12	-43.697	21.424	0.000	61.687	52.853	0.008	20.352	4	6	1	0.000	316.156	72.539	625.345	0.000	0.000	0.000	-10.007	2596.010	-60.818	85.095	0.000	0.000	0.000	-82.344	-21.526	0.000	0.000
../6_seletopclusts/cluster_4_model_2.pdb	-	13	-43.358	21.577	0.000	61.535	52.646	0.008	22.467	5	4	2	0.000	309.947	73.662	787.569	0.000	0.000	0.000	2.108	2574.720	-164.253	82.052	0.000	0.000	0.000	-176.868	-12.615	0.000	0.000
../6_seletopclusts/cluster_6_model_2.pdb	-	14	-43.118	21.802	0.000	60.823	53.258	0.008	20.180	4	6	2	0.000	320.911	76.330	638.715	0.000	0.000	0.000	-5.522	2590.070	-61.706	87.657	0.000	0.000	0.000	-86.961	-25.255	0.000	0.000
../6_seletopclusts/cluster_7_model_2.pdb	-	15	-35.199	5.253	0.043	11.387	9.795	0.159	4.860	9	7	2	0.000	306.124	72.681	512.056	0.000	0.000	0.000	-5.081	2594.480	-118.034	82.880	0.000	0.000	0.000	-124.545	-6.511	0.000	0.000
../6_seletopclusts/cluster_9_model_1.pdb	-	16	-34.605	14.636	0.000	40.883	35.766	0.017	12.689	3	9	1	0.000	311.842	73.905	585.452	0.000	0.000	0.000	-2.811	2589.580	-89.898	84.404	0.000	0.000	0.000	-103.712	-13.814	0.000	0.000
../6_seletopclusts/cluster_8_model_2.pdb	-	17	-23.610	18.825	0.000	59.394	46.822	0.009	20.073	6	8	2	0.000	312.420	72.241	437.659	0.000	0.000	0.000	-8.214	2584.460	-25.532	82.954	0.000	0.000	0.000	-35.822	-10.289	0.000	0.000
../6_seletopclusts/cluster_9_model_2.pdb	-	18	-19.599	15.200	0.000	42.388	37.180	0.016	13.117	3	9	2	0.000	322.681	73.833	492.477	0.000	0.000	0.000	1.896	2588.070	-81.286	86.859	0.000	0.000	0.000	-86.523	-5.237	0.000	0.000
