model,md5,caprieval_rank,score,irmsd,fnat,lrmsd,ilrmsd,dockq,rmsd,cluster_id,cluster_ranking,model-cluster_ranking,air,angles,bonds,bsa,cdih,coup,dani,desolv,dihe,elec,improper,rdcs,rg,sym,total,vdw,vean,xpcs,provenance
../3_emref/emref_1.pdb,-,1,-75.51,11.621,0.081,21.759,16.519,0.077,12.853,-,-,-,0.0,92.07,25.554,916.603,0.0,0.0,0.0,6.822,958.228,-349.26,25.506,0.0,0.0,0.0,-361.74,-12.48,0.0,0.0,patches_0_2_1
../3_emref/emref_1.pdb,-,1,-75.124,1.341,0.432,4.242,2.781,0.596,1.815,-,-,-,0.0,87.089,25.607,1054.42,0.0,0.0,0.0,14.017,963.165,-399.394,26.439,0.0,0.0,0.0,-408.656,-9.262,0.0,0.0,patches_0_0_1
../3_emref/emref_1.pdb,-,1,-69.979,11.664,0.108,19.327,18.645,0.095,12.198,-,-,-,0.0,96.723,26.551,1130.98,0.0,0.0,0.0,3.414,969.238,-233.836,28.014,0.0,0.0,0.0,-260.461,-26.625,0.0,0.0,patches_0_1_0
../3_emref/emref_1.pdb,-,1,-64.353,11.633,0.0,18.915,17.938,0.061,11.897,-,-,-,0.0,90.072,24.321,1020.15,0.0,0.0,0.0,11.958,959.15,-306.732,26.486,0.0,0.0,0.0,-321.696,-14.964,0.0,0.0,patches_0_2_0
../3_emref/emref_1.pdb,-,1,-54.235,2.979,0.189,9.118,5.93,0.285,3.52,-,-,-,0.0,92.881,26.221,734.576,0.0,0.0,0.0,11.533,966.554,-297.307,27.682,0.0,0.0,0.0,-303.613,-6.306,0.0,0.0,patches_0_1_1
../3_emref/emref_1.pdb,-,1,-49.82,11.568,0.0,50.2,40.307,0.015,13.343,-,-,-,0.0,94.028,24.973,814.967,0.0,0.0,0.0,-3.654,962.549,-155.805,28.395,0.0,0.0,0.0,-170.81,-15.005,0.0,0.0,patches_1_1_0
../3_emref/emref_1.pdb,-,1,-45.729,11.613,0.0,50.194,40.626,0.015,12.97,-,-,-,0.0,85.981,24.219,562.319,0.0,0.0,0.0,4.697,964.506,-231.09,27.362,0.0,0.0,0.0,-235.297,-4.207,0.0,0.0,patches_1_1_1
../3_emref/emref_1.pdb,-,1,-43.949,10.982,0.0,50.132,40.366,0.015,13.542,-,-,-,0.0,91.27,24.623,880.353,0.0,0.0,0.0,-4.419,963.912,-100.348,27.051,0.0,0.0,0.0,-119.809,-19.461,0.0,0.0,patches_1_0_1
../3_emref/emref_1.pdb,-,1,-43.922,15.483,0.0,58.079,48.964,0.01,15.757,-,-,-,61.371,90.835,24.811,989.75,0.0,0.0,0.0,1.178,970.191,-152.912,27.964,0.0,0.0,0.0,-112.196,-20.654,0.0,0.0,patches_1_2_1
../3_emref/emref_1.pdb,-,1,-43.437,11.437,0.054,20.309,20.237,0.073,12.468,-,-,-,0.0,90.797,24.953,782.67,0.0,0.0,0.0,2.964,959.654,-151.229,26.154,0.0,0.0,0.0,-167.384,-16.154,0.0,0.0,patches_0_0_0
../3_emref/emref_1.pdb,-,1,-42.988,10.888,0.0,49.536,40.565,0.016,12.257,-,-,-,0.0,98.838,26.156,766.292,0.0,0.0,0.0,-4.168,969.798,-117.866,28.898,0.0,0.0,0.0,-133.112,-15.246,0.0,0.0,patches_1_0_0
../3_emref/emref_1.pdb,-,1,-33.894,13.959,0.0,50.3,42.938,0.013,15.061,-,-,-,43.126,98.24,26.749,857.163,0.0,0.0,0.0,-0.206,970.384,-118.287,28.762,0.0,0.0,0.0,-89.504,-14.343,0.0,0.0,patches_1_2_0
