model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs	complex	run	score_rank
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-74.262	2.817	0.209	3.711	3.084	0.423	3.613	1	1	1	0.425	236.53	48.778	1297.19	0	0	0	1.894	1900.72	-244.678	69.557	0	0	0	-271.515	-27.263	0	0	1JK9	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-74.014	2.683	0.291	2.683	2.59	0.479	3.356	1	1	2	0.282	240.618	49.203	1372.67	0	0	0	3.638	1890.34	-240.984	70.791	0	0	0	-270.185	-29.484	0	0	1JK9	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-70.709	2.756	0.279	3.086	2.799	0.464	3.35	1	1	3	27.294	231.381	47.051	1226.23	0	0	0	2.746	1891.58	-262.297	69.048	0	0	0	-258.729	-23.726	0	0	1JK9	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-70.291	2.672	0.326	2.501	2.022	0.495	3.46	1	1	4	31.107	240.159	48.509	1349.02	0	0	0	0.021	1874.77	-235.709	67.646	0	0	0	-230.883	-26.281	0	0	1JK9	oracle	4
../6_seletopclusts/cluster_1_model_5.pdb	-	5	-69.782	2.779	0.279	2.383	2.789	0.477	3.433	1	1	5	22.866	230.332	47.76	1255.79	0	0	0	1.744	1877.74	-234.723	67.367	0	0	0	-238.724	-26.868	0	0	1JK9	oracle	5
../6_seletopclusts/cluster_1_model_6.pdb	-	6	-65.773	2.842	0.198	2.881	3.227	0.438	3.465	1	1	6	0.741	232.954	48.899	1102.36	0	0	0	-0.333	1894.73	-209.495	68.425	0	0	0	-232.369	-23.615	0	0	1JK9	oracle	6
../6_seletopclusts/cluster_1_model_7.pdb	-	7	-61.156	2.836	0.256	3.363	2.929	0.446	3.579	1	1	7	40.029	234.156	46.863	1204.59	0	0	0	0.11	1884.57	-209.362	67.263	0	0	0	-192.729	-23.396	0	0	1JK9	oracle	7
../6_seletopclusts/cluster_1_model_8.pdb	-	8	-59.293	2.725	0.302	2.509	2.662	0.485	3.5	1	1	8	34.518	236.839	47.79	1134.83	0	0	0	3.923	1886.23	-228.44	67.26	0	0	0	-214.902	-20.98	0	0	1JK9	oracle	8
../6_seletopclusts/cluster_1_model_9.pdb	-	9	-58.947	2.885	0.233	2.621	3.137	0.453	3.584	1	1	9	35.708	240.418	47.656	1133.11	0	0	0	1.475	1874.46	-212.575	70.713	0	0	0	-198.345	-21.478	0	0	1JK9	oracle	9
../6_seletopclusts/cluster_1_model_10.pdb	-	10	-55.525	2.956	0.209	4.182	3.635	0.406	3.715	1	1	10	31.459	250.105	51.223	1218	0	0	0	-0.656	1891.92	-205.553	73.477	0	0	0	-190.999	-16.904	0	0	1JK9	oracle	10
../6_seletopclusts/cluster_1_model_1.pdb	-	1	-138.773	1.844	0.321	4.751	3.446	0.494	2.473	1	1	1	0.019	554.146	106.578	2411.75	0	0	0	-1.105	4497.95	-483.544	154.712	0	0	0	-524.487	-40.961	0	0	1KXP	oracle	1
../6_seletopclusts/cluster_1_model_2.pdb	-	2	-104.509	2.033	0.274	5.153	4	0.452	2.561	1	1	2	0	545.403	105.186	1874.58	0	0	0	-1.257	4469.13	-346.932	151.118	0	0	0	-380.798	-33.866	0	0	1KXP	oracle	2
../6_seletopclusts/cluster_1_model_3.pdb	-	3	-91.963	2.125	0.226	7.537	5.071	0.373	2.847	1	1	3	0	546.387	106.682	2011.72	0	0	0	-0.967	4490.65	-276.156	150.695	0	0	0	-311.922	-35.765	0	0	1KXP	oracle	3
../6_seletopclusts/cluster_1_model_4.pdb	-	4	-91.564	1.947	0.226	4.759	3.673	0.453	2.535	1	1	4	0	541.822	105.853	1757.32	0	0	0	-2.674	4489.61	-333.091	149.341	0	0	0	-355.363	-22.272	0	0	1KXP	oracle	4
